,pax_number
0,0.0
1,48.0
2,480.0
3,0.0
4,473.0
5,480.0
6,0.0
7,0.0
8,0.0
9,0.0
10,480.0
11,480.0
12,412.0
13,480.0
14,0.0
15,0.0
16,0.0
17,460.0
18,48.0
19,48.0
20,432.0
21,0.0
22,0.0
23,144.0
24,480.0
25,0.0
26,480.0
27,0.0
28,480.0
29,0.0
30,480.0
31,0.0
32,0.0
33,0.0
34,336.0
35,0.0
36,465.0
37,384.0
38,480.0
39,480.0
40,480.0
41,48.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,480.0
50,477.0
51,93.0
52,480.0
53,0.0
54,0.0
55,0.0
56,431.0
57,0.0
58,480.0
59,480.0
60,192.0
61,432.0
62,188.0
63,0.0
64,0.0
65,480.0
66,432.0
67,0.0
68,0.0
69,48.0
70,0.0
71,0.0
72,480.0
73,480.0
74,480.0
75,0.0
76,0.0
77,0.0
78,96.0
79,0.0
80,0.0
81,96.0
82,478.0
83,0.0
84,0.0
85,0.0
86,0.0
87,48.0
88,48.0
89,432.0
90,0.0
91,480.0
92,0.0
93,0.0
94,480.0
95,480.0
96,0.0
97,0.0
98,0.0
99,470.0
100,0.0
101,480.0
102,0.0
103,0.0
104,467.0
105,0.0
106,0.0
107,0.0
108,0.0
109,480.0
110,96.0
111,480.0
112,0.0
113,0.0
114,0.0
115,144.0
116,379.0
117,0.0
118,0.0
119,0.0
120,48.0
121,336.0
122,480.0
123,0.0
124,432.0
125,144.0
126,480.0
127,0.0
128,0.0
129,384.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,192.0
141,480.0
142,480.0
143,480.0
144,0.0
145,0.0
146,0.0
147,432.0
148,480.0
149,127.0
150,480.0
151,0.0
152,384.0
153,336.0
154,48.0
155,480.0
156,480.0
157,48.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,48.0
164,0.0
165,0.0
166,0.0
167,480.0
168,0.0
169,0.0
170,0.0
171,384.0
172,465.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,27.0
179,480.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,478.0
187,336.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,432.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,475.0
201,432.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,471.0
210,0.0
211,336.0
212,192.0
213,480.0
214,48.0
215,0.0
216,0.0
217,432.0
218,0.0
219,381.0
220,432.0
221,0.0
222,0.0
223,480.0
224,0.0
