,pax_number
0,0.0
1,87.0
2,0.0
3,0.0
4,602.0
5,783.0
6,0.0
7,0.0
8,0.0
9,0.0
10,87.0
11,870.0
12,76.0
13,861.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,174.0
20,261.0
21,0.0
22,0.0
23,0.0
24,609.0
25,87.0
26,0.0
27,0.0
28,861.9999999999999
29,0.0
30,522.0
31,0.0
32,0.0
33,431.0
34,174.0
35,0.0
36,0.0
37,0.0
38,835.0
39,522.0
40,870.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,867.0
50,0.0
51,0.0
52,870.0
53,0.0
54,0.0
55,87.0
56,840.0
57,0.0
58,870.0
59,87.0
60,0.0
61,609.0
62,0.0
63,0.0
64,0.0
65,348.0
66,66.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,870.0
73,609.0
74,261.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,348.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,783.0
92,0.0
93,0.0
94,73.0
95,435.0
96,0.0
97,0.0
98,0.0
99,783.0
100,0.0
101,848.0
102,0.0
103,0.0
104,870.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,435.0
111,870.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,522.0
123,0.0
124,174.0
125,0.0
126,870.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,783.0
142,869.0
143,435.0
144,0.0
145,174.0
146,0.0
147,418.0
148,870.0
149,0.0
150,870.0
151,0.0
152,0.0
153,0.0
154,0.0
155,870.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,867.0
168,0.0
169,0.0
170,0.0
171,87.0
172,231.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,174.0
179,783.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,870.0
187,69.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,870.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,848.0
201,783.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,854.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,87.0
218,0.0
219,60.00000000000001
220,435.0
221,0.0
222,0.0
223,870.0
224,0.0
