,pax_number
0,0.0
1,0.0
2,248.0
3,0.0
4,762.0
5,768.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,672.0
12,288.0
13,960.0
14,0.0
15,0.0
16,0.0
17,0.0
18,288.0
19,192.0
20,0.0
21,0.0
22,0.0
23,192.0
24,447.0
25,0.0
26,0.0
27,0.0
28,672.0
29,0.0
30,825.0
31,0.0
32,0.0
33,480.0
34,54.0
35,0.0
36,0.0
37,0.0
38,960.0
39,384.0
40,960.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,960.0
50,0.0
51,0.0
52,666.0
53,0.0
54,0.0
55,0.0
56,960.0
57,0.0
58,923.0
59,0.0
60,0.0
61,243.0
62,0.0
63,0.0
64,0.0
65,480.0
66,86.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,960.0
73,96.0
74,96.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,960.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,768.0
92,0.0
93,0.0
94,0.0
95,192.0
96,0.0
97,0.0
98,0.0
99,960.0
100,0.0
101,864.0
102,0.0
103,0.0
104,947.0
105,0.0
106,0.0
107,0.0
108,0.0
109,56.0
110,480.0
111,576.0
112,0.0
113,0.0
114,0.0
115,63.0
116,93.0
117,96.0
118,0.0
119,0.0
120,0.0
121,342.0
122,384.0
123,0.0
124,441.0
125,0.0
126,960.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,960.0
142,817.0
143,0.0
144,0.0
145,0.0
146,0.0
147,259.0
148,960.0
149,0.0
150,960.0
151,0.0
152,0.0
153,0.0
154,0.0
155,864.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,864.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,913.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,960.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,672.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,960.0
201,864.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,88.0
210,0.0
211,823.0
212,0.0
213,96.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,93.0
220,355.0
221,0.0
222,0.0
223,960.0
224,0.0
